lu_id,smiles_canonical,inchikey,leaving_group,delta_g_kJmol,dg_kcal,EA,ESP1,ESP2
1,O=[N+]([O-])c1ccc(Br)nc1,HUUFTVUBFFESEN-UHFFFAOYSA-N,Br,64.355522190595,15.381,127.819223510728,98.66010072,200.29841448
2,N#Cc1cc(Br)ccn1,CZXDCTUSFIKLIJ-UHFFFAOYSA-N,Br,70.84263199623919,16.932,54.41866799999999,98.13659864,141.96638352
3,N#Cc1ccc(Br)nc1,XHYGUDGTUJPSNX-UHFFFAOYSA-N,Br,72.2834736083141,17.276,52.78128361014872,90.67602456,166.99519704000002
4,N#Cc1cccnc1Br,QIPXEPRGYVAQFI-UHFFFAOYSA-N,Br,73.00731764278073,17.449,52.4889280008649,88.82837016,150.75232328
5,FC(F)(F)c1cccnc1Br,OFGSIPQYQUVVPL-UHFFFAOYSA-N,Br,76.91825678723517,18.384,6.48392640047851,74.41457384,110.56960568
6,FC(F)(F)c1ccc(Br)nc1,GSKMWMFOQQBVMI-UHFFFAOYSA-N,Br,76.97223016612527,18.397,55.1136676829373,74.38934432,123.51477616
7,Clc1cc(Br)ccn1,ONHMWUXYIFULDO-UHFFFAOYSA-N,Br,76.99482658393343,18.402,-16.40279,68.42630752,48.23520215999999
8,O=[N+]([O-])c1ccc(Br)cc1,ZDFBKZUDCQQKAC-UHFFFAOYSA-N,Br,78.61433947026778,18.789,101.576689250247,72.671896,212.6708372
9,Brc1ccc(Br)nc1,ZHXUWDPHUQHFOV-UHFFFAOYSA-N,Br,81.98314818566848,19.594,-11.356519900242622,57.09934088,68.65563256
10,FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1,CSVCVIHEBDJTCJ-UHFFFAOYSA-N,Br,85.97785670343012,20.549,17.1592480803788,81.76209623999999,239.30049096000005
11,Brc1ccccn1,IMRWILPUOVGIMU-UHFFFAOYSA-N,Br,86.21869849063673,20.607,-54.032720000000005,35.530193280000006,-11.394914800000002
12,Cc1ccc(Br)nc1,YWNJQQNBJQUKME-UHFFFAOYSA-N,Br,90.2220009793165,21.564,-56.92732999999999,24.36711392,-17.195779759999994
13,COc1cccnc1Br,PDOWLYNSFYZIQX-UHFFFAOYSA-N,Br,92.4118213370626,22.087,-50.07482326077325,34.39741712,-2.058611680000008
14,COc1ccc(Br)nc1,WULVUFYZVYHTFX-UHFFFAOYSA-N,Br,94.91299301711096,22.685,-53.89956793962888,19.0579108,-8.789621679999996
15,Clc1ccnc(Cl)n1,BTTNYQZNBZNDOR-UHFFFAOYSA-N,Cl,61.38059868015303,14.67,12.63014830001067,101.17091912,17.29632128
16,Clc1cc(Cl)ncn1,XJPZKYIHCLDXST-UHFFFAOYSA-N,Cl,62.03400604516519,14.826,4.617867820231727,99.14849904,24.33975056
17,O=[N+]([O-])c1ccc(Cl)nc1,BAZVFQBTJPBRTJ-UHFFFAOYSA-N,Cl,64.02920171453906,15.303,123.213899,105.29860248,196.45750248
18,O=[N+]([O-])c1cccnc1Cl,UUOLETYDNTVQDY-UHFFFAOYSA-N,Cl,67.73037125008078,16.188,113.85466,101.82404152,176.89466656000002
19,Cc1nc(Cl)cc(Cl)n1,FIMUTBLUWQGTIJ-UHFFFAOYSA-N,Cl,67.81694198229633,16.209,-2.2597255397793923,86.08149048,-0.836800000000005
20,FC(F)(F)c1cc(Cl)c2ccccc2n1,ONNDFDQMHCNEGF-UHFFFAOYSA-N,Cl,69.23539520727957,16.548,69.47063999999999,75.26831904000001,69.50427328
21,FC(F)(F)c1ccc2nccc(Cl)c2c1,FTNQANJWBFKPIP-UHFFFAOYSA-N,Cl,69.98279330045746,16.726,74.29499,74.16771784000001,59.3797464
22,N#Cc1ccc(Cl)nc1,ORIQLMBUPMABDV-UHFFFAOYSA-N,Cl,70.61153609149804,16.877,46.31376,96.6769684,163.09805208
23,Cc1cc(C)c(C#N)c(Cl)n1,RETJKTAVEQPNMH-UHFFFAOYSA-N,Cl,71.49423840416158,17.088,24.604185,74.39520192,96.11417856
24,CSc1nccc(Cl)n1,DFOHHQRGDOQMKG-UHFFFAOYSA-N,Cl,71.68821188909031,17.134,-16.78005417012951,67.66486136,-38.0744
25,Clc1cncc(Cl)c1Cl,KKWRVUBDCJQHBZ-UHFFFAOYSA-N,Cl,72.1836923801983,17.252,-2.89461,90.18051344,108.80002472
26,N#Cc1cccnc1Cl,JAUPUQRPBNDMDT-UHFFFAOYSA-N,Cl,72.43077844388318,17.311,49.015396,95.8589964,150.24367439999995
27,N#Cc1ccnc(Cl)c1,QRXBTPFMCTXCRD-UHFFFAOYSA-N,Cl,73.16535127079887,17.487,69.85658799999999,91.93076432,149.60327136
28,Cc1nccc(Cl)n1,WDTVJRYCMIZPMX-UHFFFAOYSA-N,Cl,73.27172722546304,17.512,-31.84071,68.02037584,-60.38842512
29,N#Cc1cccc(Cl)n1,PGZHSVWXFKKCNR-UHFFFAOYSA-N,Cl,73.94937441668692,17.674,54.51515499999999,91.913066,147.57892664000002
30,FC(F)(F)c1cc(Cl)ccn1,FZINIBTZNSPWQR-UHFFFAOYSA-N,Cl,74.37003745308216,17.775,3.087584,88.13596000000001,96.12543352000002
31,FC(F)(F)c1ccc(Cl)nc1,JFZJMSDDOOAOIV-UHFFFAOYSA-N,Cl,74.69677250986481,17.853,0.5789219999999999,80.54329704,117.44998448
